# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

? 0 0 0 0 0 0 0 1 0 zxaf,zxbb ! 0
§ 0 0 0 0 0 0 0 0 1 yyybs yyybs 0
° 0 0 0 0 0 0 0 0 1 yyycg yyycg 0
± 0 0 0 0 0 0 0 0 1 yyydb yyydb 0
· 0 0 0 0 0 0 0 0 1 ! zxaf 0
× 0 0 0 0 0 0 0 0 1 yyybo ! 0
÷ 0 0 0 0 0 0 0 0 1 yyyda yyyda 0
ˇ 0 0 0 0 0 0 0 0 1 yyyyn yyyyn 0
ˊ 0 0 0 0 0 0 0 0 1 yyyym yyyym 0
ˋ 0 0 0 0 0 0 0 0 1 yyyyo yyyyo 0
˙ 0 0 0 0 0 0 0 0 1 yyyby yyyby 0
Α 0 0 0 0 0 0 0 0 1 ! zf 0
Β 0 0 0 0 0 0 0 0 1 ! zf 0
Γ 0 0 0 0 0 0 0 0 1 ! zf 0
Δ 0 0 0 0 0 0 0 0 1 ! zf 0
Ε 0 0 0 0 0 0 0 0 1 ! zf 0
Ζ 0 0 0 0 0 0 0 0 1 ! zf 0
Η 0 0 0 0 0 0 0 0 1 ! zf 0
Θ 0 0 0 0 0 0 0 0 1 ! zf 0
Ι 0 0 0 0 0 0 0 0 1 ! zf 0
Κ 0 0 0 0 0 0 0 0 1 ! zf 0
Λ 0 0 0 0 0 0 0 0 1 ! zf 0
Μ 0 0 0 0 0 0 0 0 1 ! zf 0
Ν 0 0 0 0 0 0 0 0 1 ! zf 0
Ξ 0 0 0 0 0 0 0 0 1 ! zf 0
Ο 0 0 0 0 0 0 0 0 1 ! zf 0
Π 0 0 0 0 0 0 0 0 1 ! zf 0
Ρ 0 0 0 0 0 0 0 0 1 ! zf 0
Σ 0 0 0 0 0 0 0 0 1 ! zf 0
Τ 0 0 0 0 0 0 0 0 1 ! zf 0
Υ 0 0 0 0 0 0 0 0 1 ! zf 0
Φ 0 0 0 0 0 0 0 0 1 ! zf 0
Χ 0 0 0 0 0 0 0 0 1 ! zf 0
Ψ 0 0 0 0 0 0 0 0 1 ! zf 0
Ω 0 0 0 0 0 0 0 0 1 ! zf 0
α 0 0 0 0 0 0 0 0 1 ! zf 0
β 0 0 0 0 0 0 0 0 1 ! zf 0
γ 0 0 0 0 0 0 0 0 1 ! zf 0
δ 0 0 0 0 0 0 0 0 1 ! zf 0
ε 0 0 0 0 0 0 0 0 1 ! zf 0
